,Title,Enrolled,Course_Type,Level,Subject,Language,Price[USD],Length[Weeks]
470,"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源","21,291",Self-paced on your time,Introductory,Humanities,English,49,16
471,"Cosmic Rays, Dark Matter, and the Mysteries of the Universe","12,888",Self-paced on your time,Intermediate,Physics,English,49,4
472,Macroeconomic Diagnostics,"23,408",Self-paced on your time,Intermediate,Economics & Finance,English,25,6
473,BioStatistics,"14,937",Self-paced on your time,Introductory,Biology & Life Sciences,English,79,8
474,Results-Based Project Management: Monitoring and Evaluation,"32,810",Self-paced on your time,Intermediate,Business & Management,English,199,8
475,Estrategias y estilos de negociación,"12,639",Self-paced on your time,Introductory,Business & Management,Español,149,4
476,Políticas efectivas de desarrollo infantil,"64,387",Self-paced on your time,Intermediate,Social Sciences,Español,25,10
477,Alzheimer’s Disease & Dementia Care,"5,763",Self-paced on your time,Intermediate,Medicine,English,49,5
478,Understanding Classroom Interaction,"27,114",Self-paced on your time,Introductory,Education & Teacher Training,English,49,5
479,Sign Language Science: Emergence and Evolution of Sign Language,"8,313",Self-paced on your time,Introductory,Language,English,99,4
480,International Humanitarian Law,"31,419",Self-paced on your time,Advanced,Law,English,150,12
481,"Educación de calidad para todos: equidad, inclusión y atención a la diversidad","25,111",Self-paced on your time,Introductory,Education & Teacher Training,Español,49,6
482,Introduction to Astrophysics,"20,802",Self-paced on your time,Introductory,Physics,English,139,7
483,Epidemics I,"10,618",Self-paced on your time,Introductory,Medicine,English,139,5
484,Introducción a la genética y la evolución,"15,297",Self-paced on your time,Introductory,Biology & Life Sciences,Español,49,3
485,Fundamentals of Macroeconomics,"17,820",Self-paced on your time,Introductory,Economics & Finance,English,129,6
486,"Blockchain and FinTech: Basics, Applications, and Limitations","22,011",Self-paced on your time,Introductory,Computer Science,English,199,6
487,Molecular Biology - Part 2: Transcription and Transposition,"18,168",Self-paced on your time,Advanced,Biology & Life Sciences,English,99,7
488,"One Planet, One Ocean","12,166",Self-paced on your time,Intermediate,Environmental Studies,English,49,6
489,Reputation Management in a Digital World,"39,672",Self-paced on your time,Intermediate,Communication,English,99,6
490,Google Ads: publicidad efectiva,"12,084",Self-paced on your time,Introductory,Business & Management,Español,49,5
491,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,"14,673",Self-paced on your time,Intermediate,Engineering,Español,50,4
492,Computer Vision Fundamentals with Watson and OpenCV,"7,032",Self-paced on your time,Introductory,Computer Science,English,99,14
493,Japanese Business Management,"14,852",Self-paced on your time,Intermediate,Business & Management,English,129,4
495,Fundamentos de logística,"7,397",Self-paced on your time,Introductory,Engineering,Español,29,5
496,Sustainable Urban Development,"45,760",Self-paced on your time,Introductory,Social Sciences,English,50,7
497,Introduction to Biomedical Imaging,"56,485",Self-paced on your time,Introductory,Medicine,English,99,12
498,Introducción a la programación en Java: empezando a programar,"23,321",Self-paced on your time,Introductory,Computer Science,Español,49,5
499,"Circuits and Electronics 2: Amplification, Speed, and Delay","9,665",Self-paced on your time,Intermediate,Electronics,English,169,5
500,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,"47,083",Self-paced on your time,Introductory,History,English,139,15
501,Introduction to DevOps and Site Reliability Engineering,"8,697",Self-paced on your time,Introductory,Computer Science,English,149,10
505,Digital Transformation in Business,"10,118",Self-paced on your time,Advanced,Business & Management,English,214,7
506,Designing and Creating Trousers,"7,544",Self-paced on your time,Introductory,Design,English,99,5
507,Introducción a la teoría política: conceptos y grandes pensadores,"11,741",Self-paced on your time,Introductory,Social Sciences,Español,59,7
508,"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion","11,426",Self-paced on your time,Intermediate,Social Sciences,English,49,11
509,Industry 4.0: How to Revolutionize your Business,"28,404",Self-paced on your time,Introductory,Business & Management,English,50,6
510,Desafíos y oportunidades en la economía digital,"47,792",Self-paced on your time,Introductory,Economics & Finance,Español,25,10
511,Pensamiento crítico: toma de decisiones razonadas,"16,853",Self-paced on your time,Introductory,Business & Management,Español,149,4
513,Sustainable Food Security: Crop Production,"35,367",Self-paced on your time,Intermediate,Biology & Life Sciences,English,49,6
514,Network and Security Foundations,"7,301",Self-paced on your time,Introductory,Computer Science,English,299.70,8
515,Cannabis Cultivation and Processing,"7,419",Self-paced on your time,Introductory,Environmental Studies,English,179,3
516,"Data, Models and Decisions in Business Analytics","36,289",Instructor-led on a course schedule,Advanced,Business & Management,English,249,12
517,Data Structures Fundamentals,"42,381",Self-paced on your time,Intermediate,Computer Science,English,99,6
518,Shaping Work of the Future,"22,246",Self-paced on your time,Introductory,Business & Management,English,49,8
519,Introducción a la robótica e industria 4.0,"7,056",Self-paced on your time,Introductory,Computer Science,Español,49,3
520,Fighting for Equality: 1950–2018,"9,274",Self-paced on your time,Intermediate,History,English,50,10
521,"Design Thinking: Ideation, Iteration and Communication","14,629",Self-paced on your time,Intermediate,Business & Management,English,299,6
523,Crear música con tecnología,"10,961",Self-paced on your time,Introductory,Music,Español,49,6
524,Análisis de datos: Diseño y Visualización de Tableros,"18,368",Self-paced on your time,Intermediate,Computer Science,Español,49,8
525,Comunicación estratégica: gestión de crisis e imagen pública,"7,017",Self-paced on your time,Introductory,Communication,Español,49,4
526,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems","14,052",Self-paced on your time,Intermediate,Business & Management,English,199,4
527,Unlocking Information Security: Part II,"6,426",Self-paced on your time,Intermediate,Computer Science,English,149,6
528,Human Rights Defenders,"27,338",Self-paced on your time,Introductory,Social Sciences,English,49,4
529,Product Design: The Delft Design Approach,"87,539",Self-paced on your time,Intermediate,Business & Management,English,79,7
530,Introduction to Psychology | 心理学概论,"30,731",Self-paced on your time,Introductory,Philosophy & Ethics,中文,139,13
531,Circuits and Electronics 3: Applications,"9,347",Self-paced on your time,Intermediate,Electronics,English,169,7
532,Vaccines: from smallpox to technologies of the future,"6,166",Self-paced on your time,Intermediate,Medicine,English,49,6
533,Le management,"6,273",Self-paced on your time,Introductory,Business & Management,Français,149,5
534,Circular Economy for a Sustainable Built Environment,"8,032",Self-paced on your time,Intermediate,Architecture,English,50,6
535,Agile Innovation and Problem Solving Skills,"12,667",Self-paced on your time,Advanced,Engineering,English,199,4
536,International Investment Law,"23,335",Instructor-led on a course schedule,Advanced,Law,English,150,10
537,Animation and CGI Motion,"36,827",Instructor-led on a course schedule,Advanced,Computer Science,English,249,12
538,Terrorism and Counterterrorism,"28,580",Self-paced on your time,Introductory,Humanities,English,49,7
539,Découvrir le marketing,"30,030",Instructor-led on a course schedule,Intermediate,Business & Management,Français,150,10
540,Solar Energy: Photovoltaic (PV) Energy Conversion,"38,041",Instructor-led on a course schedule,Advanced,Engineering,English,250,12
541,Introduction to Actuarial Science,"52,667",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
542,PredictionX: Lost Without Longitude,"9,114",Self-paced on your time,Introductory,History,English,49,1
543,Information Technology Foundations,"6,388",Self-paced on your time,Introductory,Computer Science,English,399.60,6
545,Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,"16,013",Self-paced on your time,Intermediate,Business & Management,English,125,5
546,Instructional Design and Technology: Learning Theories,"21,296",Instructor-led on a course schedule,Intermediate,Education & Teacher Training,English,299,8
548,The Math of Data Science: Linear Algebra,"6,746",Self-paced on your time,Intermediate,Math,English,159,8
550,The Hardware of a Quantum Computer,"20,052",Self-paced on your time,Intermediate,Physics,English,79,6
551,Grabar y mezclar música,"10,856",Self-paced on your time,Introductory,Music,Español,49,4
555,Herramientas para el Análisis de Big Data,"8,118",Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,49,4
556,Foundations of Central Bank Law,"6,169",Self-paced on your time,Intermediate,Law,English,25,6
557,C Programming: Modular Programming and Memory Management,"18,690",Self-paced on your time,Introductory,Computer Science,English,49,7
558,Enseñanza temprana de matemáticas y ciencias,"8,250",Self-paced on your time,Introductory,Education & Teacher Training,Español,25,10
559,Entrepreneurship 102: What can you do for your customer?,"11,275",Self-paced on your time,Introductory,Business & Management,English,49,10
560,Italian Language and Culture: Advanced (2019-2020),"24,667",Self-paced on your time,Advanced,Language,Italiano,49,12
562,Origins of the Human Mind,"11,812",Self-paced on your time,Introductory,Science,English,49,5
563,Introduction to Geometry,"61,824",Self-paced on your time,Introductory,Math,English,50,14
564,The Future of Work: Preparing for Disruption,"43,125",Self-paced on your time,Introductory,Economics & Finance,English,5,5
565,Clinical Reasoning Process,"5,367",Self-paced on your time,Introductory,Medicine,English,149,6
566,Datos para la efectividad de las políticas públicas,"80,425",Self-paced on your time,Introductory,Data Analysis & Statistics,Español,25,10
567,Media Law,"7,253",Instructor-led on a course schedule,Introductory,Art & Culture,English,249,14
568,Líderes para la Gestión en Seguridad Ciudadana y Justicia,"12,826",Self-paced on your time,Intermediate,Social Sciences,Español,25,10
569,"Diseña, fabrica y programa tu propio robot","25,024",Self-paced on your time,Introductory,Engineering,Español,75,6
570,Pivoting to Online Teaching: Research and Practitioner Perspectives,"5,289",Self-paced on your time,Introductory,Education & Teacher Training,English,139,6
571,Circular Economy: An Interdisciplinary Approach,"10,281",Self-paced on your time,Advanced,Business & Management,English,149,6
572,Calculus 1B: Integration,"44,669",Instructor-led on a course schedule,Intermediate,Math,English,100,15
573,Algorithmic Design and Techniques,"40,620",Self-paced on your time,Intermediate,Computer Science,English,99,6
574,Drinking Water Treatment,"51,918",Self-paced on your time,Intermediate,Engineering,English,50,7
575,Fundamentos de información financiera y contable,"7,789",Self-paced on your time,Intermediate,Economics & Finance,Español,49,5
576,Les principes de la finance,"44,037",Self-paced on your time,Intermediate,Business & Management,Français,150,13
